Platz,Mannschaft,Spiele,S-U-N,Tore,Pkt.,Statistik
1.,FC Bayern München,34,27-3-4,92:28 (+64),84,Saison 2017/2018
2.,FC Schalke 04,34,18-9-7,53:37 (+16),63,Saison 2017/2018
3.,1899 Hoffenheim,34,15-10-9,66:48 (+18),55,Saison 2017/2018
4.,Borussia Dortmund,34,15-10-9,64:47 (+17),55,Saison 2017/2018
5.,Bayer 04 Leverkusen,34,15-10-9,58:44 (+14),55,Saison 2017/2018
6.,RB Leipzig,34,15-8-11,57:53 (+4),53,Saison 2017/2018
7.,VfB Stuttgart,34,15-6-13,36:36 (0),51,Saison 2017/2018
8.,Eintracht Frankfurt,34,14-7-13,45:45 (0),49,Saison 2017/2018
9.,Borussia Mönchengladbach,34,13-8-13,47:52 (-5),47,Saison 2017/2018
10.,Hertha BSC,34,10-13-11,43:46 (-3),43,Saison 2017/2018
11.,Werder Bremen,34,10-12-12,37:40 (-3),42,Saison 2017/2018
12.,FC Augsburg,34,10-11-13,43:46 (-3),41,Saison 2017/2018
13.,Hannover 96,34,10-9-15,44:54 (-10),39,Saison 2017/2018
14.,1. FSV Mainz 05,34,9-9-16,38:52 (-14),36,Saison 2017/2018
15.,SC Freiburg,34,8-12-14,32:56 (-24),36,Saison 2017/2018
16.,VfL Wolfsburg,34,6-15-13,36:48 (-12),33,Saison 2017/2018
17.,Hamburger SV,34,8-7-19,29:53 (-24),31,Saison 2017/2018
18.,1. FC Köln,34,5-7-22,35:70 (-35),22,Saison 2017/2018
