feature,importance_mean,importance_std
external_score_mean,0.02463,0.00213
external_score_min,0.01774,0.00192
external_score_max,0.00947,0.00114
EXT_SOURCE_3,0.00873,0.00079
EXT_SOURCE_2,0.00852,0.00082
annuity_credit_ratio,0.00376,0.00095
NAME_EDUCATION_TYPE,0.00307,0.00059
goods_credit_ratio,0.00301,0.00088
age_years,0.00297,0.00059
AMT_ANNUITY,0.00239,0.00076
AMT_CREDIT,0.00239,0.00055
PREV_APPROVAL_RATE,0.00221,0.00073
INST_LATE_PAYMENT_RATIO,0.00207,0.00065
EXT_SOURCE_1,0.002,0.00051
AMT_GOODS_PRICE,0.00197,0.00078
DAYS_BIRTH,0.00182,0.00101
DAYS_EMPLOYED,0.00176,0.00085
CODE_GENDER,0.00162,0.00052
BUREAU_MEAN_DAYS_CREDIT,0.00155,0.00064
INST_COUNT,0.00153,0.0007
DAYS_LAST_PHONE_CHANGE,0.00152,0.001
PREV_MEAN_AMT_ANNUITY,0.00142,0.00063
PREV_REFUSED_COUNT,0.00142,0.00034
external_score_std,0.00134,0.00061
missing_values_count,0.00131,0.00062
INST_LATE_PAYMENT_COUNT,0.00124,0.00046
PREV_APPROVED_COUNT,0.00115,0.00063
BUREAU_CLOSED_COUNT,0.0011,0.0006
NAME_CONTRACT_TYPE,0.00107,0.00041
BUREAU_SUM_AMT_CREDIT_SUM,0.00089,0.00057
employment_years,0.00089,0.00035
BUREAU_COUNT,0.00087,0.00042
BUREAU_BB_MONTHS_COUNT_SUM,0.00081,0.00075
BUREAU_MIN_DAYS_CREDIT,0.00079,0.00038
HOUR_APPR_PROCESS_START,0.00074,0.00036
BUREAU_MAX_AMT_CREDIT_SUM,0.00073,0.0005
ORGANIZATION_TYPE,0.00072,0.00047
BUREAU_ACTIVE_COUNT,0.00071,0.00041
LIVINGAREA_MODE,0.00064,0.00018
annuity_income_ratio,0.0006,0.00057
REG_CITY_NOT_WORK_CITY,0.00059,0.00024
TOTALAREA_MODE,0.00057,0.00034
registration_years,0.00056,0.00041
OCCUPATION_TYPE,0.00054,0.00033
FLAG_DOCUMENT_3,0.00051,0.00039
AMT_INCOME_TOTAL,0.00048,0.00044
NAME_HOUSING_TYPE,0.00048,0.00027
FLAG_OWN_CAR,0.00045,0.00043
LIVINGAPARTMENTS_MEDI,0.00044,0.00018
AMT_REQ_CREDIT_BUREAU_QRT,0.00042,0.00018
NONLIVINGAREA_MEDI,0.00041,0.00026
LIVINGAREA_MEDI,0.0004,0.00029
ELEVATORS_AVG,0.00036,0.00019
YEARS_BUILD_AVG,0.00033,0.00022
LIVINGAREA_AVG,0.00033,0.00019
INST_PAYMENT_DELAY_MEAN,0.00032,0.00059
LANDAREA_MODE,0.00032,0.00014
BASEMENTAREA_MEDI,0.00032,0.00024
REG_REGION_NOT_WORK_REGION,0.00031,0.00011
credit_income_ratio,0.0003,0.00076
LANDAREA_MEDI,0.00028,0.00031
YEARS_BUILD_MEDI,0.00027,0.00019
BUREAU_CREDIT_TYPE_NUNIQUE,0.00024,0.00012
ELEVATORS_MEDI,0.00023,0.00025
APARTMENTS_AVG,0.00023,0.00025
FLOORSMIN_MODE,0.00022,0.00014
LIVINGAPARTMENTS_MODE,0.00022,0.00014
BASEMENTAREA_MODE,0.00021,0.00026
CNT_FAM_MEMBERS,0.00021,0.0002
YEARS_BEGINEXPLUATATION_AVG,0.0002,0.00041
DAYS_ID_PUBLISH,0.0002,0.00078
YEARS_BEGINEXPLUATATION_MODE,0.00019,0.00034
NAME_FAMILY_STATUS,0.00019,0.00027
INST_PAYMENT_DIFF_MEAN,0.00019,0.00057
LANDAREA_AVG,0.00019,0.00026
NONLIVINGAPARTMENTS_MEDI,0.00018,0.00012
FLOORSMAX_AVG,0.00018,0.00025
BASEMENTAREA_AVG,0.00017,0.0003
REGION_RATING_CLIENT_W_CITY,0.00016,0.00022
APARTMENTS_MODE,0.00016,0.00025
AMT_REQ_CREDIT_BUREAU_MON,0.00015,0.00015
INST_PAYMENT_DELAY_MAX,0.00015,0.00059
REG_REGION_NOT_LIVE_REGION,0.00015,6e-05
FLOORSMAX_MEDI,0.00015,0.0002
PREV_CONTRACT_TYPE_NUNIQUE,0.00014,0.00018
ELEVATORS_MODE,0.00013,0.00015
FLAG_EMP_PHONE,0.00013,0.00023
NONLIVINGAPARTMENTS_MODE,0.00012,0.00011
OWN_CAR_AGE,0.00011,0.00042
PREV_MEAN_AMT_CREDIT,0.0001,0.00031
FLAG_DOCUMENT_18,0.0001,5e-05
BUREAU_BB_OVERDUE_MONTHS_SUM,9e-05,0.00027
LIVE_REGION_NOT_WORK_REGION,8e-05,0.00012
LIVINGAPARTMENTS_AVG,8e-05,0.00021
FLOORSMIN_MEDI,7e-05,0.00012
YEARS_BEGINEXPLUATATION_MEDI,7e-05,0.00028
OBS_60_CNT_SOCIAL_CIRCLE,6e-05,0.00023
FONDKAPREMONT_MODE,6e-05,0.00017
ENTRANCES_MODE,5e-05,0.00019
NAME_TYPE_SUITE,4e-05,0.00031
WEEKDAY_APPR_PROCESS_START,3e-05,0.00042
YEARS_BUILD_MODE,3e-05,0.00019
FLAG_EMAIL,3e-05,0.00017
ENTRANCES_MEDI,2e-05,9e-05
COMMONAREA_AVG,2e-05,0.00038
FLAG_DOCUMENT_13,2e-05,1e-05
NONLIVINGAPARTMENTS_AVG,2e-05,9e-05
FLAG_CONT_MOBILE,0.0,1e-05
FLAG_DOCUMENT_20,0.0,1e-05
FLAG_DOCUMENT_14,0.0,0.0
FLAG_DOCUMENT_21,0.0,0.0
FLAG_MOBIL,0.0,0.0
FLAG_DOCUMENT_2,0.0,0.0
FLAG_DOCUMENT_4,0.0,0.0
FLAG_DOCUMENT_12,0.0,0.0
FLAG_DOCUMENT_10,0.0,0.0
FLAG_DOCUMENT_7,-0.0,0.0
FLAG_DOCUMENT_17,-0.0,0.0
FLAG_DOCUMENT_19,-0.0,0.0
FLAG_DOCUMENT_15,-0.0,0.0
REG_CITY_NOT_LIVE_CITY,-0.0,0.00012
FLAG_DOCUMENT_16,-0.0,6e-05
HOUSETYPE_MODE,-0.0,4e-05
FLAG_DOCUMENT_11,-0.0,3e-05
AMT_REQ_CREDIT_BUREAU_DAY,-0.0,3e-05
FLAG_DOCUMENT_9,-1e-05,1e-05
FLAG_DOCUMENT_8,-1e-05,0.00018
CNT_CHILDREN,-1e-05,0.00024
DAYS_REGISTRATION,-1e-05,0.00067
AMT_REQ_CREDIT_BUREAU_HOUR,-1e-05,2e-05
REGION_RATING_CLIENT,-1e-05,0.00031
FLOORSMIN_AVG,-1e-05,0.00017
WALLSMATERIAL_MODE,-2e-05,0.00015
LIVE_CITY_NOT_WORK_CITY,-3e-05,0.00013
FLAG_DOCUMENT_6,-3e-05,0.00015
FLAG_DOCUMENT_5,-3e-05,4e-05
COMMONAREA_MEDI,-4e-05,0.00015
NONLIVINGAREA_AVG,-4e-05,0.00021
EMERGENCYSTATE_MODE,-4e-05,3e-05
FLOORSMAX_MODE,-4e-05,0.00013
PREV_COUNT,-4e-05,0.00048
BUREAU_OVERDUE_COUNT,-5e-05,4e-05
COMMONAREA_MODE,-5e-05,0.00019
DAYS_EMPLOYED_ANOMALY,-6e-05,0.00016
OBS_30_CNT_SOCIAL_CIRCLE,-6e-05,0.00033
NONLIVINGAREA_MODE,-7e-05,0.00026
AMT_REQ_CREDIT_BUREAU_WEEK,-0.0001,5e-05
DEF_30_CNT_SOCIAL_CIRCLE,-0.0001,0.00019
BUREAU_MEAN_AMT_CREDIT_SUM,-0.00012,0.00078
REGION_POPULATION_RELATIVE,-0.00016,0.0004
FLAG_PHONE,-0.00018,0.00017
NAME_INCOME_TYPE,-0.00019,0.00041
FLAG_WORK_PHONE,-0.0002,0.00014
DEF_60_CNT_SOCIAL_CIRCLE,-0.00027,9e-05
AMT_REQ_CREDIT_BUREAU_YEAR,-0.00027,0.00028
ENTRANCES_AVG,-0.00031,0.00025
APARTMENTS_MEDI,-0.00033,0.00025
FLAG_OWN_REALTY,-0.00034,0.00016
INST_PAYMENT_DIFF_SUM,-0.00044,0.00054
