feature,importance
num__external_score_mean,0.04751
num__external_score_min,0.03912
num__external_score_max,0.03432
num__EXT_SOURCE_2,0.02917
num__EXT_SOURCE_3,0.02709
num__annuity_credit_ratio,0.01734
num__DAYS_EMPLOYED,0.01711
num__external_score_std,0.0168
num__DAYS_BIRTH,0.01666
num__age_years,0.01609
num__DAYS_ID_PUBLISH,0.01572
num__BUREAU_MEAN_DAYS_CREDIT,0.01559
num__INST_PAYMENT_DELAY_MEAN,0.01549
num__PREV_MEAN_AMT_ANNUITY,0.01485
num__AMT_ANNUITY,0.01484
num__DAYS_LAST_PHONE_CHANGE,0.01481
num__employment_years,0.01476
num__PREV_MEAN_AMT_CREDIT,0.01463
num__annuity_income_ratio,0.01446
num__credit_income_ratio,0.01446
num__DAYS_REGISTRATION,0.01444
num__BUREAU_MIN_DAYS_CREDIT,0.01391
num__AMT_CREDIT,0.01365
num__goods_credit_ratio,0.01363
num__registration_years,0.0133
num__EXT_SOURCE_1,0.01322
num__BUREAU_MEAN_AMT_CREDIT_SUM,0.01271
num__INST_COUNT,0.01262
num__REGION_POPULATION_RELATIVE,0.01244
num__AMT_GOODS_PRICE,0.01242
num__BUREAU_SUM_AMT_CREDIT_SUM,0.01232
num__INST_PAYMENT_DELAY_MAX,0.01221
num__BUREAU_MAX_AMT_CREDIT_SUM,0.01206
num__INST_LATE_PAYMENT_RATIO,0.01195
num__AMT_INCOME_TOTAL,0.01066
num__INST_PAYMENT_DIFF_MEAN,0.01015
num__PREV_APPROVAL_RATE,0.01011
num__INST_PAYMENT_DIFF_SUM,0.00995
num__HOUR_APPR_PROCESS_START,0.00977
num__missing_values_count,0.00824
num__PREV_COUNT,0.00797
num__BUREAU_COUNT,0.00772
num__OWN_CAR_AGE,0.00734
num__BUREAU_CLOSED_COUNT,0.00731
num__INST_LATE_PAYMENT_COUNT,0.00725
num__PREV_APPROVED_COUNT,0.00669
num__BUREAU_ACTIVE_COUNT,0.00656
num__BUREAU_BB_MONTHS_COUNT_SUM,0.0059
num__TOTALAREA_MODE,0.00556
num__PREV_REFUSED_COUNT,0.00551
num__AMT_REQ_CREDIT_BUREAU_YEAR,0.00551
num__OBS_30_CNT_SOCIAL_CIRCLE,0.00542
num__OBS_60_CNT_SOCIAL_CIRCLE,0.00535
num__LIVINGAREA_MEDI,0.00531
num__LIVINGAREA_MODE,0.00519
num__YEARS_BEGINEXPLUATATION_MEDI,0.00511
num__YEARS_BEGINEXPLUATATION_MODE,0.00506
num__YEARS_BEGINEXPLUATATION_AVG,0.00506
num__LIVINGAREA_AVG,0.00505
num__APARTMENTS_AVG,0.00455
num__LANDAREA_MEDI,0.0045
num__APARTMENTS_MEDI,0.00449
num__LANDAREA_MODE,0.00446
num__BASEMENTAREA_MEDI,0.00441
num__APARTMENTS_MODE,0.00441
num__LANDAREA_AVG,0.00433
num__BASEMENTAREA_MODE,0.00421
num__BASEMENTAREA_AVG,0.00418
num__CNT_FAM_MEMBERS,0.00393
num__NONLIVINGAREA_AVG,0.0037
num__NONLIVINGAREA_MEDI,0.00366
num__NONLIVINGAREA_MODE,0.00358
num__COMMONAREA_MEDI,0.00354
num__COMMONAREA_MODE,0.00344
num__YEARS_BUILD_MEDI,0.00344
num__YEARS_BUILD_AVG,0.00343
num__YEARS_BUILD_MODE,0.0034
num__COMMONAREA_AVG,0.00337
cat__NAME_EDUCATION_TYPE_Higher education,0.00329
num__LIVINGAPARTMENTS_MEDI,0.0031
num__LIVINGAPARTMENTS_MODE,0.00308
num__LIVINGAPARTMENTS_AVG,0.00306
num__PREV_CONTRACT_TYPE_NUNIQUE,0.003
num__ENTRANCES_AVG,0.00282
cat__CODE_GENDER_F,0.00276
num__REGION_RATING_CLIENT_W_CITY,0.00274
num__CNT_CHILDREN,0.00267
cat__NAME_EDUCATION_TYPE_Secondary / secondary special,0.00262
num__ENTRANCES_MEDI,0.00258
num__ENTRANCES_MODE,0.00254
num__BUREAU_CREDIT_TYPE_NUNIQUE,0.00252
num__BUREAU_BB_OVERDUE_MONTHS_SUM,0.00252
cat__CODE_GENDER_M,0.00249
cat__NAME_INCOME_TYPE_Working,0.00231
num__AMT_REQ_CREDIT_BUREAU_QRT,0.00226
num__REGION_RATING_CLIENT,0.00222
num__FLOORSMAX_AVG,0.00221
